1339.98 1328.36 1293.87 1237.68 1161.67 1068.38  961.07  843.53  720.04  595.21  473.69  360.48  259.52  174.39  107.32   58.82   27.40    9.84	   
1079.78 1070.11 1041.43  994.73  931.77  854.74  766.41  670.01  569.50  468.43  370.84  280.50  200.74  134.13   82.17   44.92   20.96    7.58	   
 893.85  885.66  861.38  821.90  768.74  703.83  629.65  549.05  465.19  381.36  300.82  226.75  161.74  107.79   65.94   36.08   16.90    6.17	   
 755.80  748.75  727.88  693.98  648.38  592.69  529.45  460.78  389.62  318.71  250.87  188.71  134.40   89.51   54.79   30.06   14.16    5.21	   
 650.16  644.02  625.84  596.36  556.73  508.31  453.43  394.31  332.91  271.97  213.74  160.70  114.41   76.23   46.75   25.74   12.20    4.53	   
 567.34  561.93  545.92  520.00  485.02  442.84  394.73  342.83  289.22  236.09  185.51  139.40   99.29   66.24   40.73   22.52   10.75    4.03	   
 501.06  496.27  482.06  459.02  428.11  390.57  347.98  302.00  254.72  207.86  163.33  122.77   87.53   58.51   36.08   20.04    9.63    3.64	   
 447.15  442.83  430.11  409.47  381.71  348.23  310.16  269.17  226.95  185.20  145.57  109.51   78.18   52.38   32.41   18.09    8.75    3.34	   
 402.61  398.72  387.23  368.61  343.65  313.39  279.09  242.20  204.15  166.71  131.07   98.73   70.60   47.41   29.44   16.52    8.05    3.09	   
 365.20  361.78  351.37  334.45  311.80  284.33  253.22  219.77  185.36  151.38  119.15   89.84   64.36   43.33   27.01   15.23    7.47    2.90	   
 333.83  330.60  321.05  305.48  284.90  259.81  231.41  200.87  169.50  138.52  109.13   82.39   59.14   39.93   24.98   14.16    6.99    2.73	   
 306.89  303.89  295.08  280.96  261.94  238.91  212.84  184.73  156.02  127.59  100.62   76.08   54.72   37.05   23.27   13.26    6.58    2.59	   
 283.66  280.93  272.83  259.72  242.08  220.89  196.86  171.02  144.45  118.22   93.34   70.68   50.95   34.59   21.81   12.49    6.24    2.47	   
 263.48  260.94  253.28  241.26  225.01  205.30  183.01  159.05  134.37  110.12   87.04   66.02   47.69   32.47   20.55   11.82    5.94    2.37	   
 245.80  243.44  236.45  225.01  209.99  191.57  170.90  148.60  125.68  103.05   81.55   61.96   44.85   30.63   19.46   11.25    5.68    2.28	   
 230.23  228.01  221.49  210.92  196.77  179.64  160.25  139.42  117.99   96.84   76.74   58.40   42.37   29.02   18.50   10.74    5.46    2.20	   
 216.42  214.35  208.19  198.32  185.06  168.99  150.82  131.28  111.20   91.35   72.48   55.25   40.17   27.59   17.66   10.30    5.26    2.13	   
 204.11  202.16  196.41  187.01  174.62  159.51  142.42  124.05  105.15   86.46   68.69   52.46   38.23   26.33   16.91    9.90    5.08    2.07	   
 193.08  191.25  185.82  177.03  165.27  151.02  134.90  117.57   99.72   82.10   65.31   49.96   36.49   25.20   16.24    9.55    4.92    2.01	   
 183.16  181.42  176.29  167.98  156.86  143.36  128.14  111.73   94.87   78.18   62.28   47.72   34.92   24.19   15.64    9.23    4.78    1.96	   
 174.18  172.54  167.67  159.80  149.26  136.50  122.02  106.45   90.46   74.64   59.53   45.69   33.52   23.28   15.10    8.95    4.65    1.92	   
 165.98  164.46  159.86  152.38  142.37  130.24  116.50  101.73   86.51   71.43   57.05   43.86   32.24   22.45   14.61    8.69    4.54    1.88	   
 158.63  157.14  152.74  145.54  136.09  124.55  111.45   97.39   82.88   68.51   54.80   42.20   31.08   21.70   14.16    8.46    4.43    1.84	   
 151.85  150.43  146.24  139.45  130.36  119.34  106.86   93.43   79.58   65.85   52.74   40.68   30.02   21.01   13.76    8.24    4.34    1.81	   
 145.63  144.28  140.25  133.79  125.10  114.58  102.65   89.80   76.55   63.41   50.85   39.29   29.06   20.38   13.38    8.04    4.25    1.78	   
 139.92  138.63  134.79  128.59  120.27  110.19   98.77   86.47   73.77   61.17   49.12   38.01   28.17   19.81   13.04    7.86    4.17    1.75	   
 134.66  133.41  129.74  123.79  115.82  106.15   95.18   83.40   71.21   59.11   47.52   36.83   27.35   19.28   12.73    7.70    4.09    1.72	 
