ADAK IS.             AK US 184.35 142.88    4 ADK 0
NORFOLK              NE US 263.57 132.98  473 OFK 0
NORTH PLATTE         NE US 260.32 132.13  850 LBF 0
OFFUTT AFB           NE US 265.10 132.12  319 OFF 0
OMAHA                NE US 265.10 132.30  300 OMA 1
OMAHA NORTH          NE US 264.98 132.37  401 OVN 0
SCOTTSBLUFF          NE US 257.40 132.87 1207 BFF 0
SIDNEY               NE US 258.02 132.10 1315 SNY 0
VALENTINE            NE US 260.45 133.87  792 VTN 0
CONCORD              NH US 289.50 134.20  106 CON 1
LEBANON              NH US 288.68 134.63  174 LEB 0
PORTSMOUTH           NH US 290.18 134.08   31 PSM 0
ATLANTIC CITY        NJ US 286.43 130.45   20 ACY 1
LAKEHURST NAS        NJ US 286.68 131.03   24 NEL 0
MCGUIRE AFB          NJ US 286.40 131.02   41 WRI 0
MILLVILLE            NJ US 285.93 130.37   27 MIV 0
NEWARK               NJ US 286.83 131.70    9 EWR 0
TETERBORO            NJ US 286.95 131.85    3 TEB 0
ALBUQUERQUE          NM US 254.38 126.05 1621 ABQ 1
CANNON AFB           NM US 257.68 125.38 1310 CVS 0
CARLSBAD             NM US 256.73 123.33 1005 CNM 0
CLAYTON              NM US 257.85 127.45 1516 CAO 0
CLOVIS               NM US 257.92 125.42 1280 CVN 0
DEMING               NM US 253.30 123.25 1319 DMN 0
FARMINGTON           NM US 252.77 127.75 1678 FMN 0
GALLUP               NM US 252.22 126.52 1973 GUP 0
HOBBS                NM US 257.80 123.68 1116 HOB 0
HOLLOMAN AFB         NM US 254.90 123.85 1249 HMN 0
LAS VEGAS            NM US 255.85 126.65 2094 LVS 0
MELROSE AFR          NM US 257.17 125.50 1327 4MR 0
OSCURA AFR           NM US 254.67 125.00 1406 QOS 0
ROSWELL              NM US 256.47 124.30 1119 ROW 0
SANTA FE             NM US 254.92 126.62 1935 SAF 0
TRTH OR CON          NM US 253.73 124.23 1482 TCS 0
TUCUMCARI            NM US 257.40 126.18 1232 TCC 0
ZUNI                 NM US 252.20 126.10 1966 ZUN 0
CALIENTE             NV US 246.48 128.62 1336 P38 0
ELKO                 NV US 245.22 131.83 1548 EKO 0
ELY                  NV US 246.15 130.28 1910 ELY 0
EUREKA               NV US 245.03 130.50 2136 P68 0
FALLON NAS           NV US 242.30 130.42 1200 NFL 0
LAS VEGAS            NV US 245.83 127.08  665 LAS 1
LOVELOCK             NV US 242.45 131.07 1191 LOL 0
MERCURY              NV US 244.98 127.62 1010 DRA 0
NELLIS 60 AFR        NV US 245.33 127.83  973 INS 0
NELLIS AFB           NV US 245.97 127.25  569 LSV 0
RENO                 NV US 241.22 130.50 1342 RNO 0
TONOPAH              NV US 243.92 129.07 1657 TPH 0
TONOPAH TR.          NV US 244.22 128.80 1692 TNX 0
WINNEMUCA            NV US 243.20 131.90 1316 WMC 0
YUCCA FLAT AIR SP    NV US 244.95 127.95 1196 UCC 0
ALBANY               NY US 287.20 133.75   89 ALB 0
BINGHAMTON           NY US 285.02 133.22  497 BGM 0
BUFFALO              NY US 282.27 133.93  215 BUF 1
ELMIRA               NY US 284.10 133.17  290 ELM 0
FORT DRUM            NY US 285.27 135.05  207 GTB 0
GLENS FALLS          NY US 287.38 134.35  100 GFL 0
GRIFFISS AFB         NY US 285.60 134.23  154 RME 0
ISLIP                NY US 287.90 131.78   33 ISP 0
ITHACA               NY US 284.53 133.48  335 ITH 0
JAMESTOWN            NY US 281.75 133.15  526 JHW 0
MASSENA              NY US 286.15 135.93   65 MSS 0
NEW YORK             NY US 287.22 131.65    7 JFK 1
NEW YORK-LAGUARD.    NY US 287.10 131.77    9 LGA 0
NEWBURGH             NY US 286.90 132.50  143 SWF 0
NIAGARA FALLS        NY US 282.05 134.10  180 IAG 0
PLATTSBURGH AFB      NY US 287.53 135.65   72 PBG 0
POUGHKEEPSIE         NY US 287.12 132.63   50 POU 0
ROCHESTER            NY US 283.33 134.12  169 ROC 0
SYRACUSE             NY US 284.88 134.12  124 SYR 0
UTICA                NY US 285.62 134.15  226 UCA 0
WATERTOWN            NY US 284.98 135.00   99 ART 0
WESTHAMPTON BEACH    NY US 288.37 131.85   20 FOK 0
WHITE PLAINS         NY US 287.28 132.07  134 HPN 0
AKRON CANTON         OH US 279.57 131.92  377 CAK 0
CLEVELAND            OH US 279.15 132.40  246 CLE 1
COLUMBUS             OH US 278.12 131.00  254 CMH 0
DAYTON               OH US 276.80 130.90  306 DAY 0
FINDLAY              OH US 277.33 132.02  244 FDY 0
MANSFIELD            OH US 278.48 131.82  395 MFD 0
RICKENBACKER AFB     OH US 278.07 130.82  227 LCK 0
TOLEDO               OH US 277.20 132.60  211 TOL 0
WRIGHT-PATTERSON     OH US 276.95 130.83  252 FFO 0
YOUNGSTOWN           OH US 280.33 132.27  362 YNG 0
ZANESVILLE           OH US 279.10 130.95  274 ZZV 0
ALTUS AFB            OK US 261.73 125.65  420 LTS 0
ARDMORE              OK US 263.98 125.30  232 ADM 0
CLINTON              OK US 261.80 126.35  587 CSM 0
FORT SILL            OK US 262.60 125.65  360 FSI 0
GAGE                 OK US 261.23 127.30  672 GAG 0
HOBART               OK US 261.95 126.00  479 HBR 0
MCALESTER            OK US 265.22 125.88  235 MLC 0
OKLAHOMA CITY        OK US 263.40 126.40  398 OKC 1
PONCA CITY           OK US 263.90 127.73  307 PNC 0
TINKER AFB           OK US 263.62 126.42  394 TIK 0
TULSA                OK US 265.10 127.20  206 TUL 0
VANCE AFB            OK US 263.08 127.35  398 END 0
ASTORIA              OR US 237.12 137.15    7 AST 0
BAKER                OR US 243.18 135.83 1029 BKE 0
BURNS                OR US 242.05 134.58 1272 BNO 0
EUGENE               OR US 237.78 135.12  114 EUG 0
KLAMATH FALLS        OR US 239.27 133.15 1248 LMT 0
MEDFORD              OR US 238.13 133.37  405 MFR 0
NORTH BEND           OR US 236.75 134.42    5 OTH 0
PENDLETON            OR US 242.15 136.68  456 PDT 0
PORTLAND             OR US 238.40 136.60   12 PDX 1
REDMOND              OR US 239.85 135.27  941 RDM 0
ROME                 OR US 243.12 133.83 1288 P88 0
SALEM                OR US 238.00 135.92   61 SLE 0
SEXTON SMT           OR US 237.63 133.62 1172 SXT 0
THE DALLES           OR US 239.85 136.62   64 DLS 0
TROUTDALE            OR US 238.60 136.55   11 TTD 0
ALLEGHENY CO.ARPT    PA US 281.07 131.35  382 AGC 0
ALLENTOWN            PA US 285.57 131.65  117 ABE 0
ALTOONA              PA US 282.68 131.30  458 AOO 0
BRADFORD             PA US 282.37 132.80  656 BFD 0
DUBOIS               PA US 282.10 132.18  554 DUJ 0
ERIE                 PA US 280.82 133.08  225 ERI 0
HARRISBURG           PA US 284.15 131.22  107 CXY 0
JOHNSTOWN            PA US 282.17 131.32  697 JST 0
MIDDLETWN/HARRISB    PA US 284.23 131.20   97 MDT 0
MUIR AAF             PA US 284.43 131.43  149 MUI 0
N.PHILADELPHIA       PA US 285.98 131.08   37 PNE 0
PHILADELPHIA         PA US 285.75 130.88    9 PHL 1
PHILIPSBURG          PA US 282.92 131.88  584 PSB 0
PITTSBURGH           PA US 280.78 131.50  374 PIT 1
SCRANTON             PA US 285.27 132.33  289 AVP 0
UNIVERSITY PARK      PA US 283.15 131.85  372 UNV 0
WILLIAMSPORT         PA US 284.08 132.25  160 IPT 0
WILLOW GROVE NAS     PA US 285.87 131.18  113 NXX 0
SAN JUAN             PU US 295.00 109.43   19 TJS 1
BLOCK ISL.           RI US 289.42 132.17   36 BID 0
PROVIDENCE           RI US 289.57 132.73   19 PVD 1
QUONSET POINT NAS    RI US 289.58 132.60    7 NCO 0
ANDERSON             SC US 278.28 125.50  238 AND 0
BEAUFORT MCAS        SC US 280.28 123.48   12 NBC 0
CHARLESTON           SC US 280.97 123.90   15 CHS 1
CHARLESTON NAS       SC US 281.05 123.85    1 NAO 0
COLUMBIA             SC US 279.88 124.95   69 CAE 0
FLORENCE             SC US 281.28 125.18   45 FLO 0
FT JACKSON TACR      SC US 280.20 125.07   92 T02 0
GREENVILLE-SPART.    SC US 278.78 125.90  296 GSP 0
MCENTIRE ANGB AP     SC US 280.20 124.92   77 MMT 0
MYRTLE BCH TACR      SC US 282.25 124.23    0 T03 0
MYRTLE BEACH AFB     SC US 282.07 124.68    8 MYR 0
SHAW AFB             SC US 280.52 124.97   73 SSC 0
SUMTER               SC US 280.52 124.85   68 2PJ 0
ABERDEEN             SD US 262.57 136.45  397 ABR 0
CHAMBERLAIN          SD US 261.68 134.77  515 9V9 0
CUSTER               SD US 257.38 134.73 1708 0V1 0
ELLSWORTH AFB        SD US 257.90 135.15 1000 RCA 0
HURON                SD US 262.78 135.38  393 HON 0
LEMMON               SD US 258.83 136.93  794 Y22 0
MOBRIDGE             SD US 260.57 136.53  507 Y26 0
PIERRE               SD US 260.72 135.38  526 PIR 0
RAPID CITY           SD US 257.93 135.05  966 RAP 0
REDIG                SD US 257.47 136.27  926 REJ 0
SIOUX FALLS          SD US 264.27 134.57  435 FSD 1
WATERTOWN            SD US 263.85 135.92  533 ATY 0
BRISTOL              TN US 278.60 127.48  465 TRI 0
CHATTANOOGA          TN US 275.80 126.03  210 CHA 0
CROSSVILLE           TN US 275.92 126.95  573 CSV 0
DYERSBURG            TN US 271.60 127.02  103 DYR 0
JACKSON              TN US 272.08 126.60  132 MKL 0
KNOXVILLE            TN US 277.02 126.82  299 TYS 0
MEMPHIS              TN US 271.00 126.05   87 MEM 1
MEMPHIS NAS          TN US 271.13 126.35   98 NQA 0
NASHVILLE            TN US 274.32 127.12  185 BNA 0
ABILENE              TX US 261.32 123.42  546 ABI 0
ALICE                TX US 262.97 118.73   54 ALI 0
AMARILLO             TX US 259.30 126.23 1099 AMA 0
AUSTIN               TX US 263.30 121.30  189 AUS 0
BEEVILLE NAS         TX US 263.33 119.37   58 NIR 0
BERGSTROM AFB        TX US 263.33 121.22  165 BSM 0
BIG SPRING           TX US 259.48 123.22  781 BGS 0
BROWNSVILLE          TX US 263.57 116.90    6 BRO 0
CARSWELL AFB         TX US 263.57 123.78  198 FWH 0
CHILDRESS            TX US 260.72 125.43  595 CDS 0
COLLEGE STATION      TX US 264.63 121.58   97 CLL 0
CORPUS CHRISTI       TX US 263.50 118.77   13 CRP 0
CORPUSCHRISTI NAS    TX US 263.72 118.70    6 NGP 0
COTULLA              TX US 261.78 119.45  144 COT 0
DALHART              TX US 258.45 127.02 1217 DHT 0
DALLAS               TX US 264.15 123.85  149 DAL 0
DALLAS               TX US 263.97 123.90  182 DFW 1
DALLAS NAS           TX US 264.03 123.73  151 NBE 0
DEL RIO              TX US 260.08 120.37  313 DRT 0
DYESS AFB            TX US 261.15 123.43  546 DYS 0
EL PASO              TX US 254.60 122.80 1194 ELP 0
ELLINGTON AFB        TX US 265.83 120.62   12 EFD 0
GALVESTON            TX US 266.13 120.27   16 GLS 0
GUADALUPE P.         TX US 256.20 122.83 1665 GDP 0
HONDO                TX US 261.83 120.35  283 HDO 0
HOUSTON              TX US 265.65 120.97   33 IAH 0
HOUSTON              TX US 265.72 120.65   15 HOU 1
JUNCTION             TX US 261.25 121.50  522 JCT 0
KELLY AFB            TX US 262.42 120.38  210 SKF 0
KINGSVILLE NAS       TX US 263.18 118.50   15 NQI 0
LAREDO AFB           TX US 261.53 118.53  156 LRD 0
LAUGHLIN AFB         TX US 260.22 120.37  329 DLF 0
LONGVIEW             TX US 266.28 123.38  114 GGG 0
LUBBOCK              TX US 259.18 124.65  989 LBB 0
LUFKIN               TX US 266.25 122.23   96 LFK 0
MARFA                TX US 256.98 121.37 1482 MRF 0
MCALLEN              TX US 262.77 117.18   33 MFE 0
MIDLAND              TX US 258.82 122.95  873 MAF 0
PALACIOS             TX US 264.75 119.72    5 PSX 0
PORT ARTHUR          TX US 266.98 120.95    7 BPT 0
RANDOLPH AFB         TX US 262.72 120.53  232 RND 0
REESE AFB            TX US 258.95 124.60 1018 REE 0
ROBERT GRAY AAF      TX US 263.17 122.07  309 GRK 0
SAN ANGELO           TX US 260.50 122.37  582 SJT 0
SAN ANTONIO          TX US 262.53 120.53  242 SAT 0
SANDERSON            TX US 258.58 121.17  866 P07 0
SHEPPARD AFB         TX US 262.52 124.97  314 SPS 0
STEPHENVILLE         TX US 262.82 123.22  399 SEP 0
TYLER                TX US 265.60 123.37  166 TYR 0
VICTORIA             TX US 264.08 119.85   36 VCT 0
WACO                 TX US 263.78 122.62  155 ACT 0
BRYCE CANYON         UT US 248.85 128.70 2315 BCE 0
CEDAR CITY           UT US 247.90 128.70 1713 CDC 0
DUGWAY PRV GNDS      UT US 248.07 131.20 1327 DPG 0
GREEN RIVER          UT US 250.85 130.00 1241 U28 0
GREEN RIVER TACR     UT US 250.92 130.00 1257 T07 0
HILL AFB             UT US 249.03 132.12 1460 HIF 0
HILL/EAGLE TACR      UT US 247.58 132.08 1830 T08 0
LOGAN                UT US 249.15 132.78 1358 LGU 0
MILFORD              UT US 247.98 129.43 1535 MLF 0
OGDEN                UT US 248.98 132.18 1359 OGD 0
PRICE                UT US 250.25 130.62 1800 PUC 0
PROVO                UT US 249.28 131.22 1370 PVU 0
SALT LAKE CITY       UT US 249.03 131.77 1289 SLC 1
VERNAL               UT US 251.48 131.45 1604 VEL 0
WENDOVER             UT US 246.97 131.73 1293 ENV 0
CHARLOTTESVILLE      VA US 282.55 129.13  195 CHO 0
DANVILLE             VA US 281.67 127.57  177 DAN 0
FORT BELVOIR         VA US 283.82 129.72   21 DAA 0
FORT EUSTIS          VA US 284.38 128.13    4 FAF 0
LANGLEY AFB          VA US 284.65 128.08    3 LFI 0
LYNCHBURG            VA US 281.80 128.33  286 LYH 0
NORFOLK              VA US 284.80 127.90    9 ORF 1
NORFOLK NAS          VA US 284.72 127.93    5 NGU 0
OCEANA NAS           VA US 284.97 127.82    6 NTU 0
QUANTICO MCAS        VA US 283.70 129.50    4 NYG 0
RICHMOND             VA US 283.67 128.50   54 RIC 0
ROANOKE              VA US 281.03 128.32  359 ROA 0
STERLING             VA US 283.53 129.98   87 STN 0
WALLOPS ISL TACR     VA US 287.00 128.50    0 T01 0
WALLOPS ISLAND       VA US 285.53 128.93    5 WAL 0
WASH-DULLES          VA US 283.55 129.95   99 IAD 0
BURLINGTON           VT US 287.85 135.47  104 BTV 1
MONTPELIER           VT US 288.43 135.20  353 MPV 0
BELLINGHAM           WA US 238.47 139.80   48 BLI 0
EPHRATA              WA US 241.48 138.32  388 EPH 0
EVERETT              WA US 238.72 138.92  184 PAE 0
FAIRCHILD AFB        WA US 243.35 138.63  751 SKA 0
FORT LEWIS           WA US 238.42 138.08   92 GRF 0
HANFORD              WA US 241.40 137.57  224 HMS 0
HOQUIAM              WA US 237.03 137.97    5 HQM 0
MCCHORD AFB          WA US 238.52 138.15   87 TCM 0
MOSES LAKE           WA US 241.68 138.20  362 MWH 0
OLYMPIA              WA US 238.10 137.97   61 OLM 0
OMAK                 WA US 241.47 139.43  375 4OM 0
PASCO                WA US 241.88 137.27  123 PSC 0
QUILLAYUTE           WA US 236.45 138.95   63 UIL 0
SEATTLE              WA US 238.70 138.45  137 SEA 1
SPOKANE              WA US 243.47 138.63  721 GEG 0
STAMPEDE PS          WA US 239.67 138.28 1210 SMP 0
WALLA WALLA          WA US 242.72 137.10  368 ALW 0
WENATCHEE            WA US 240.80 138.40  379 EAT 0
WHIDBEY IS.NAS       WA US 238.35 139.35   14 NUW 0
YAKIMA               WA US 240.47 137.57  325 YKM 0
APPLETON             WI US 272.48 135.27  280 ATW 0
EAU CLAIRE           WI US 269.52 135.87  273 EAU 0
GREEN BAY            WI US 272.87 135.48  214 GRB 0
LA CROSSE            WI US 269.75 134.87  202 LSE 0
MADISON              WI US 271.67 134.13  264 MSN 0
MILWAUKEE            WI US 273.10 133.95  211 MKE 1
WAUSAU               WI US 271.38 135.92  365 AUW 0
BECKLEY              WV US 279.88 128.78  767 BKW 0
BLUEFIELD            WV US 279.78 128.30  872 BLF 0
CHARLESTON           WV US 279.40 129.37  300 CRW 1
CLARKSBURG           WV US 280.77 130.28  366 CKB 0
ELKINS               WV US 281.15 129.88  609 EKN 0
HUNTINGTON           WV US 278.45 129.37  256 HTS 0
MARTINSBURG          WV US 283.02 130.40  169 MRB 0
MORGANTOWN           WV US 281.08 130.65  380 MGW 0
PARKERSBURG          WV US 279.57 130.35  263 PKB 0
BIG PINEY            WY US 250.90 133.57 2126 BPI 0
CASPER               WY US 254.53 133.92 1613 CPR 0
CHEYENNE             WY US 256.18 132.15 1873 CYS 1
CODY                 WY US 251.98 135.52 1554 COD 0
DOUGLAS              WY US 255.62 133.75 1480 4DG 0
GILLETTE             WY US 255.47 135.35 1331 GCC 0
JACKSON              WY US 250.27 134.60 1965 JAC 0
KEMMERER             WY US 250.33 132.72 2112 KMR 0
LANDER               WY US 252.27 133.82 1695 LND 0
LARAMIE              WY US 255.32 132.32 2219 LAR 0
RAWLINS              WY US 253.80 132.80 2069 RWL 0
RIVERTON             WY US 252.55 134.05 1680 RIW 0
ROCK SPRINGS         WY US 251.93 132.60 2057 RKS 0
SHERIDAN             WY US 254.03 135.77 1210 SHR 0
WARREN AFB           WY US 256.20 132.15 1877 FEW 0
WORLAND              WY US 253.03 134.97 1295 WRL 0
YELLOWSTONE          WY US 250.58 135.55 2441 P60 0
